Rank,Name,Symbol,Price (USD),Market Cap (USD),24h Change (%)
1,Bitcoin,BTC,89818.57,1791904104393,-5.78
2,Ethereum,ETH,2999.12,361995901256,-6.20
3,Tether USD,USDT,1,183944545437,-0.08
4,BNB,BNB,906.19,136341408406,-3.01
5,XRP,XRP,2.15,129157878116,-5.32
6,Solana,SOL,136.72,75787755943,-3.27
7,USDC,USDC,1,74847559349,-0.02
8,TRON,TRX,0.288,27250835008,-1.80
9,Lido Staked Ether,stETH,2992.28,25840348556,-6.36
10,Dogecoin,DOGE,0.154,23417078956,-4.68
11,Cardano,ADA,0.462,17667437102,-6.80
12,Hyperliquid,HYPE,39.75,13404257505,3.03
13,Wrapped BTC,WBTC,89633.41,12487509179,-5.75
14,Wrapped liquid staked Ether 2.0,wstETH,3653.12,11966215819,-6.22
15,Zcash,ZEC,589.56,9664878631,-14.98
16,Bitcoin Cash,BCH,480.87,9594893415,-2.23
17,Chainlink,LINK,13.33,9293073654,-5.51
18,Binance-Peg BSC-USD,BSC-USD,1,8981632587,-0.07
19,Ethena USDe,USDE,0.999,8174030591,-0.03
20,Stellar,XLM,0.247,7933484559,-4.70
21,Wrapped Ether,WETH,2996.11,7920302379,-6.17
22,Wrapped eETH,weETH,3221.73,7849686593,-6.58
23,USDS,USDS,0.991,7809836625,-2.89
24,Monero,XMR,406.57,7499477849,3.12
25,Litecoin,LTC,94.17,7206186284,-3.15
26,Avalanche,AVAX,14.46,6199499362,-8.02
27,Hedera,HBAR,0.144,6103291917,-4.56
28,Sui Network,SUI,1.64,6033794178,-4.93
29,Bitcoin BEP2,BTCB,89800.85,5293182664,-5.82
30,Shiba Inu,SHIB,0.0000087,5130027759,-3.60
31,Dai,DAI,1,4521549043,0.02
32,Uniswap,UNI,7.29,4510754823,-2.64
33,Polkadot,DOT,2.72,4454354975,-3.78
34,Ethena Staked USDe,sUSDe,1.2,4438941534,-0.02
35,Toncoin,TON,1.77,4406215575,-3.22
36,WhiteBIT Coin,WBT,50.59,4381514499,-4.30
37,Coinbase Wrapped BTC,CBBTC,89789.03,4099469590,-5.73
38,USD₮0,USD₮0,0.999,4083849547,-0.06
39,Savings USDS,SUSDS,1.08,3836774940,0.40
40,Cronos,CRO,0.102,3796283165,-9.09
41,Canton Network,CC,0.107,3743419509,-3.19
42,MemeCore,M,2.18,3710619007,-0.45
43,World Liberty Financial,WLFI,0.14,3688090040,-4.55
44,Mantle,MNT,1.06,3449962678,-11.15
45,PayPal USD,PYUSD,1,3424183436,0.02
46,Bittensor,TAO,315.87,3261009990,-3.50
47,Internet Computer,ICP,5.63,3044207131,12.23
48,Aster,ASTER,1.25,2967624263,3.24
49,NEAR Protocol,NEAR,2.25,2875782713,-3.15
50,Aave,AAVE,169.35,2599623971,-4.63
